I1_C0_T10;1.00;1.00;10.00;0.50;2.50;124299.00;114338.00;105136.00;96720.00;88926.00;81797.00;75194.00;69168.00;63598.00;58504.00;53784.00;49466.00;45453.00;41776.00;38386.00;35277.00;32431.00;29804.00;27380.00;25155.00;23101.00;21213.00;19469.00;17865.00;16387.00;15024.00;13766.00;12605.00;11527.00;10520.00;9591.00;8741.00;7954.00;7225.00;6548.00;5918.00;-86.01;-85.96;-85.84;-85.74;-85.61;-85.47;-85.32;-85.15;-84.97;-84.73;-84.52;-84.28;-84.01;-83.70;-83.34;-82.96;-82.59;-82.14;-81.66;-81.13;-80.56;-79.93;-79.24;-78.47;-77.64;-76.74;-75.76;-74.68;-73.53;-72.23;-70.71;-69.04;-67.22;-65.21;-62.98;-60.48
I1_C1_T11;0.00;1.00;11.00;0.50;2.75;124558.00;114572.00;105401.00;96991.00;89230.00;82080.00;75498.00;69454.00;63885.00;58763.00;54048.00;49710.00;45705.00;41999.00;38617.00;35501.00;32643.00;30008.00;27587.00;25354.00;23301.00;21410.00;19670.00;18066.00;16590.00;15231.00;13980.00;12826.00;11759.00;10766.00;9850.00;9013.00;8238.00;7536.00;6889.00;6284.00;-85.64;-85.59;-85.54;-85.46;-85.37;-85.28;-85.16;-85.02;-84.89;-84.71;-84.51;-84.32;-84.12;-83.86;-83.54;-83.22;-82.86;-82.47;-82.04;-81.57;-81.05;-80.49;-79.86;-79.18;-78.44;-77.62;-76.73;-75.75;-74.70;-73.54;-72.17;-70.72;-69.01;-67.17;-65.23;-63.22
I1_C1_T3;0.00;1.00;3.00;0.50;0.75;171585.00;157955.00;145088.00;133528.00;122793.00;112939.00;103846.00;95523.00;87814.00;80767.00;74260.00;68290.00;62763.00;57644.00;52989.00;48705.00;44759.00;41133.00;37797.00;34724.00;31895.00;29291.00;26892.00;24685.00;22650.00;20776.00;19047.00;17455.00;15976.00;14594.00;13325.00;12170.00;11083.00;10108.00;9214.00;8364.00;-85.93;-85.87;-85.76;-85.69;-85.59;-85.48;-85.33;-85.18;-85.02;-84.83;-84.61;-84.41;-84.18;-83.88;-83.53;-83.17;-82.78;-82.36;-81.89;-81.38;-80.83;-80.21;-79.54;-78.81;-78.01;-77.14;-76.19;-75.16;-74.04;-72.80;-71.33;-69.79;-67.97;-66.04;-64.00;-62.14
I1_C2_T11;0.00;1.00;11.00;0.50;2.75;141582.00;130170.00;119727.00;110060.00;101257.00;93137.00;85663.00;78785.00;72424.00;66624.00;61274.00;56362.00;51800.00;47577.00;43735.00;40209.00;36964.00;33980.00;31237.00;28709.00;26385.00;24247.00;22276.00;20466.00;18797.00;17260.00;15845.00;14546.00;13333.00;12196.00;11160.00;10224.00;9339.00;8563.00;7860.00;7182.00;-85.90;-85.75;-85.69;-85.58;-85.45;-85.31;-85.15;-84.99;-84.80;-84.59;-84.36;-84.13;-83.90;-83.56;-83.19;-82.79;-82.37;-81.90;-81.40;-80.85;-80.24;-79.59;-78.87;-78.09;-77.23;-76.30;-75.28;-74.18;-73.01;-71.69;-70.10;-68.43;-66.49;-64.38;-62.24;-60.42
I1_C2_T9;0.00;1.00;9.00;0.50;2.25;125071.00;115057.00;105836.00;97374.00;89568.00;82398.00;75767.00;69690.00;64093.00;58978.00;54220.00;49881.00;45872.00;42112.00;38708.00;35600.00;32721.00;30090.00;27661.00;25421.00;23364.00;21470.00;19716.00;18118.00;16640.00;15280.00;14029.00;12876.00;11807.00;10806.00;9883.00;9043.00;8269.00;7578.00;6944.00;6342.00;-85.81;-85.76;-85.68;-85.61;-85.50;-85.41;-85.30;-85.15;-85.01;-84.81;-84.64;-84.44;-84.27;-83.98;-83.65;-83.33;-82.96;-82.56;-82.13;-81.67;-81.14;-80.58;-79.93;-79.27;-78.52;-77.70;-76.82;-75.85;-74.83;-73.72;-72.31;-70.85;-69.09;-67.27;-65.36;-63.45
I1_C3_T11;0.00;1.00;11.00;0.50;2.75;134444.00;123512.00;113591.00;104404.00;95988.00;88236.00;81114.00;74555.00;68538.00;63000.00;57919.00;53237.00;48911.00;44928.00;41286.00;37934.00;34855.00;32022.00;29417.00;27017.00;24818.00;22778.00;20908.00;19186.00;17598.00;16136.00;14789.00;13547.00;12396.00;11325.00;10339.00;9438.00;8592.00;7828.00;7123.00;6460.00;-86.72;-86.66;-86.53;-86.41;-86.30;-86.16;-86.02;-85.86;-85.67;-85.48;-85.27;-85.05;-84.81;-84.51;-84.19;-83.84;-83.47;-83.06;-82.62;-82.13;-81.60;-81.03;-80.40;-79.71;-78.96;-78.13;-77.23;-76.26;-75.20;-74.03;-72.67;-71.21;-69.56;-67.74;-65.83;-63.95
I1_C3_T5;0.00;1.00;5.00;0.50;1.25;156041.00;143481.00;131857.00;121263.00;111473.00;102459.00;94170.00;86562.00;79588.00;73148.00;67240.00;61810.00;56790.00;52170.00;47928.00;44043.00;40465.00;37178.00;34150.00;31366.00;28802.00;26447.00;24275.00;22277.00;20436.00;18739.00;17176.00;15735.00;14401.00;13156.00;12011.00;10966.00;9984.00;9102.00;8288.00;7522.00;-86.69;-86.60;-86.53;-86.39;-86.27;-86.14;-85.98;-85.85;-85.67;-85.46;-85.26;-85.04;-84.81;-84.51;-84.18;-83.84;-83.45;-83.05;-82.60;-82.12;-81.59;-81.01;-80.38;-79.68;-78.93;-78.11;-77.21;-76.23;-75.18;-74.01;-72.64;-71.18;-69.52;-67.69;-65.78;-63.98
I2_C0_T8;1.00;2.00;8.00;1.00;2.00;143487.00;132062.00;121487.00;111750.00;102804.00;94566.00;87001.00;80027.00;73592.00;67650.00;62241.00;57250.00;52640.00;48349.00;44478.00;40852.00;37533.00;34501.00;31699.00;29124.00;26753.00;24564.00;22548.00;20691.00;18981.00;17404.00;15951.00;14607.00;13360.00;12195.00;11118.00;10137.00;9232.00;8389.00;7609.00;6880.00;-85.57;-85.52;-85.47;-85.34;-85.27;-85.15;-85.02;-84.86;-84.69;-84.53;-84.33;-84.10;-83.88;-83.57;-83.23;-82.88;-82.49;-82.06;-81.59;-81.08;-80.51;-79.90;-79.21;-78.47;-77.65;-76.76;-75.79;-74.73;-73.58;-72.31;-70.81;-69.14;-67.32;-65.32;-63.12;-60.65
I2_C1_T1;0.00;2.00;1.00;1.00;0.25;207257.00;190447.00;175266.00;161116.00;148136.00;136210.00;125202.00;115141.00;105839.00;97314.00;89434.00;82245.00;75556.00;69367.00;63763.00;58596.00;53850.00;49473.00;45454.00;41751.00;38342.00;35214.00;32328.00;29675.00;27233.00;24981.00;22909.00;21000.00;19228.00;17568.00;16049.00;14671.00;13375.00;12217.00;11159.00;10156.00;-86.34;-86.33;-86.24;-86.16;-86.03;-85.94;-85.82;-85.66;-85.50;-85.32;-85.13;-84.92;-84.74;-84.43;-84.11;-83.78;-83.41;-83.02;-82.58;-82.11;-81.59;-81.02;-80.40;-79.72;-78.98;-78.17;-77.29;-76.34;-75.31;-74.17;-72.80;-71.36;-69.70;-67.87;-66.01;-64.42
I2_C1_T3;0.00;2.00;3.00;1.00;0.75;183945.00;169079.00;155598.00;143021.00;131512.00;120930.00;111207.00;102233.00;94007.00;86419.00;79448.00;73045.00;67136.00;61641.00;56656.00;52074.00;47854.00;43966.00;40395.00;37111.00;34089.00;31304.00;28741.00;26380.00;24208.00;22207.00;20364.00;18666.00;17089.00;15615.00;14264.00;13039.00;11881.00;10850.00;9903.00;9007.00;-86.39;-86.29;-86.21;-86.11;-86.02;-85.88;-85.74;-85.60;-85.45;-85.26;-85.07;-84.86;-84.65;-84.37;-84.03;-83.70;-83.33;-82.93;-82.51;-82.02;-81.50;-80.93;-80.30;-79.63;-78.88;-78.07;-77.18;-76.22;-75.19;-74.04;-72.66;-71.21;-69.52;-67.73;-65.86;-64.17
