ID_TRILHA;G_SAÚDE;G_ISOLAMENTO;G_TRILHA;N_ISOLAMENTO;N_TRILHA;M_225886;M_246180;M_268298;M_292402;M_318672;M_347302;M_378504;M_412509;M_449569;M_489959;M_533978;M_581951;M_634235;M_691215;M_753315;M_820994;M_894753;M_975139;M_1062747;M_1158226;M_1262283;M_1375688;M_1499282;M_1633980;M_1780779;M_1940767;M_2115128;M_2305154;M_2512253;M_2737957;M_2983939;M_3252021;M_3544187;M_3862602;M_4209624;M_4587823;F_225886;F_246180;F_268298;F_292402;F_318672;F_347302;F_378504;F_412509;F_449569;F_489959;F_533978;F_581951;F_634235;F_691215;F_753315;F_820994;F_894753;F_975139;F_1062747;F_1158226;F_1262283;F_1375688;F_1499282;F_1633980;F_1780779;F_1940767;F_2115128;F_2305154;F_2512253;F_2737957;F_2983939;F_3252021;F_3544187;F_3862602;F_4209624;F_4587823
I2_C0_T6;1,00;2,00;6,00;1,00;1,50;151623,00;139485,00;128281,00;117996,00;108503,00;99834,00;91815,00;84413,00;77676,00;71405,00;65650,00;60410,00;55444,00;50997,00;46903,00;43079,00;39591,00;36369,00;33424,00;30695,00;28190,00;25888,00;23764,00;21807,00;20003,00;18340,00;16809,00;15394,00;14078,00;12849,00;11717,00;10682,00;9726,00;8842,00;8021,00;7256,00;-85,76;-85,68;-85,60;-85,51;-85,41;-85,30;-85,17;-84,99;-84,84;-84,63;-84,46;-84,23;-84,00;-83,72;-83,42;-82,99;-82,59;-82,18;-81,71;-81,19;-80,63;-80,01;-79,34;-78,58;-77,76;-76,87;-75,91;-74,85;-73,71;-72,43;-70,93;-69,25;-67,44;-65,44;-63,22;-60,79
I2_C0_T7;1,00;2,00;7,00;1,00;1,75;146691,00;134899,00;124115,00;114179,00;105038,00;96618,00;88879,00;81790,00;75202,00;69129,00;63600,00;58461,00;53761,00;49405,00;45398,00;41755,00;38384,00;35271,00;32415,00;29778,00;27357,00;25119,00;23066,00;21166,00;19418,00;17808,00;16322,00;14947,00;13674,00;12483,00;11384,00;10380,00;9451,00;8592,00;7794,00;7047,00;-85,56;-85,48;-85,40;-85,30;-85,23;-85,11;-84,96;-84,83;-84,64;-84,47;-84,29;-84,05;-83,82;-83,49;-83,17;-82,83;-82,42;-82,00;-81,55;-81,02;-80,46;-79,84;-79,16;-78,41;-77,60;-76,71;-75,74;-74,68;-73,54;-72,27;-70,76;-69,10;-67,29;-65,29;-63,07;-60,60
I2_C0_T9;1,00;2,00;9,00;1,00;2,25;139456,00;128367,00;118075,00;108608,00;99904,00;91861,00;84502,00;77716,00;71479,00;65734,00;60456,00;55581,00;51096,00;46943,00;43159,00;39666,00;36436,00;33500,00;30784,00;28278,00;25971,00;23845,00;21886,00;20084,00;18423,00;16892,00;15479,00;14174,00;12962,00;11830,00;10790,00;9836,00;8953,00;8138,00;7379,00;6674,00;-85,66;-85,60;-85,54;-85,45;-85,36;-85,22;-85,11;-84,95;-84,79;-84,58;-84,38;-84,17;-83,93;-83,63;-83,29;-82,94;-82,55;-82,11;-81,65;-81,13;-80,56;-79,94;-79,27;-78,52;-77,70;-76,81;-75,84;-74,78;-73,64;-72,34;-70,83;-69,17;-67,36;-65,37;-63,16;-60,72
I2_C1_T11;0,00;2,00;11,00;1,00;2,75;150025,00;138013,00;126919,00;116659,00;107298,00;98672,00;90716,00;83440,00;76697,00;70523,00;64839,00;59609,00;54797,00;50348,00;46252,00;42514,00;39065,00;35900,00;32982,00;30300,00;27830,00;25559,00;23463,00;21536,00;19760,00;18123,00;16616,00;15227,00;13938,00;12739,00;11635,00;10627,00;9682,00;8829,00;8044,00;7306,00;-86,24;-86,21;-86,15;-86,08;-85,94;-85,83;-85,69;-85,54;-85,38;-85,18;-85,00;-84,78;-84,57;-84,28;-83,95;-83,62;-83,25;-82,85;-82,42;-81,95;-81,42;-80,85;-80,22;-79,54;-78,79;-77,98;-77,08;-76,11;-75,07;-73,90;-72,54;-71,09;-69,43;-67,62;-65,70;-63,89
I2_C1_T5;0,00;2,00;5,00;1,00;1,25;170115,00;156368,00;143785,00;132215,00;121544,00;111778,00;102746,00;94505,00;86874,00;79882,00;73428,00;67508,00;62047,00;56981,00;52370,00;48128,00;44233,00;40644,00;37345,00;34309,00;31516,00;28939,00;26572,00;24392,00;22381,00;20531,00;18825,00;17255,00;15796,00;14434,00;13186,00;12050,00;10979,00;10021,00;9143,00;8310,00;-86,33;-86,24;-86,17;-86,07;-85,96;-85,86;-85,74;-85,57;-85,41;-85,22;-85,01;-84,81;-84,61;-84,32;-84,00;-83,66;-83,29;-82,89;-82,45;-81,97;-81,45;-80,88;-80,25;-79,57;-78,83;-78,01;-77,12;-76,16;-75,12;-73,96;-72,59;-71,14;-69,46;-67,65;-65,76;-64,03
I2_C1_T7;0,00;2,00;7,00;1,00;1,75;159659,00;146894,00;135091,00;124246,00;114229,00;105017,00;96569,00;88791,00;81638,00;75053,00;69008,00;63438,00;58319,00;53558,00;49230,00;45247,00;41578,00;38208,00;35107,00;32250,00;29622,00;27202,00;24973,00;22923,00;21035,00;19293,00;17689,00;16212,00;14842,00;13564,00;12391,00;11319,00;10313,00;9409,00;8577,00;7794,00;-86,31;-86,27;-86,15;-86,07;-85,95;-85,85;-85,71;-85,55;-85,38;-85,21;-85,01;-84,80;-84,58;-84,29;-83,98;-83,63;-83,26;-82,87;-82,43;-81,96;-81,44;-80,86;-80,24;-79,55;-78,81;-77,99;-77,09;-76,13;-75,08;-73,92;-72,55;-71,11;-69,44;-67,63;-65,73;-63,95
I2_C2_T1;0,00;2,00;1,00;1,00;0,25;203164,00;186743,00;171891,00;158100,00;145436,00;133742,00;123052,00;113159,00;104048,00;95708,00;88020,00;80966,00;74414,00;68381,00;62832,00;57769,00;53104,00;48816,00;44865,00;41223,00;37874,00;34794,00;31955,00;29343,00;26934,00;24713,00;22669,00;20789,00;19041,00;17405,00;15907,00;14547,00;13266,00;12119,00;11075,00;10084,00;-85,84;-85,81;-85,72;-85,66;-85,54;-85,47;-85,35;-85,21;-85,06;-84,88;-84,71;-84,52;-84,33;-84,04;-83,72;-83,40;-83,05;-82,65;-82,23;-81,77;-81,27;-80,69;-80,08;-79,41;-78,68;-77,88;-77,00;-76,06;-75,04;-73,91;-72,55;-71,12;-69,48;-67,65;-65,79;-64,17
I2_C2_T3;0,00;2,00;3,00;1,00;0,75;176400,00;162188,00;149147,00;137210,00;126194,00;116082,00;106774,00;98160,00;90277,00;83023,00;76351,00;70218,00;64559,00;59293,00;54501,00;50108,00;46050,00;42331,00;38899,00;35737,00;32825,00;30156,00;27693,00;25425,00;23333,00;21407,00;19631,00;17997,00;16479,00;15063,00;13762,00;12577,00;11463,00;10464,00;9548,00;8683,00;-86,00;-85,90;-85,83;-85,79;-85,68;-85,55;-85,45;-85,31;-85,15;-84,97;-84,78;-84,57;-84,36;-84,10;-83,78;-83,45;-83,08;-82,70;-82,27;-81,80;-81,27;-80,72;-80,10;-79,42;-78,69;-77,88;-77,00;-76,04;-75,01;-73,86;-72,50;-71,06;-69,40;-67,59;-65,71;-64,01
I2_C2_T9;0,00;2,00;9,00;1,00;2,25;152141,00;139912,00;128677,00;118295,00;108789,00;100042,00;91971,00;84559,00;77759,00;71489,00;65732,00;60431,00;55546,00;51012,00;46892,00;43097,00;39609,00;36395,00;33443,00;30720,00;28217,00;25912,00;23791,00;21835,00;20035,00;18376,00;16846,00;15437,00;14132,00;12914,00;11795,00;10773,00;9815,00;8950,00;8154,00;7404,00;-86,29;-86,22;-86,12;-86,05;-85,94;-85,82;-85,68;-85,54;-85,37;-85,20;-84,99;-84,77;-84,55;-84,29;-83,97;-83,62;-83,26;-82,86;-82,43;-81,96;-81,43;-80,87;-80,24;-79,56;-78,82;-78,01;-77,12;-76,16;-75,11;-73,95;-72,60;-71,16;-69,50;-67,69;-65,80;-64,01
I2_C3_T11;0,00;2,00;11,00;1,00;2,75;134048,00;123242,00;113351,00;104234,00;95843,00;88112,00;81027,00;74503,00;68498,00;62973,00;57902,00;53226,00;48923,00;44941,00;41304,00;37958,00;34880,00;32050,00;29442,00;27046,00;24837,00;22806,00;20934,00;19211,00;17622,00;16158,00;14809,00;13566,00;12414,00;11341,00;10355,00;9452,00;8607,00;7839,00;7132,00;6467,00;-86,36;-86,27;-86,19;-86,10;-85,98;-85,86;-85,74;-85,59;-85,42;-85,24;-85,04;-84,83;-84,61;-84,33;-84,02;-83,68;-83,32;-82,93;-82,50;-82,03;-81,51;-80,95;-80,33;-79,65;-78,91;-78,10;-77,22;-76,25;-75,20;-74,04;-72,70;-71,25;-69,61;-67,81;-65,91;-64,05
I2_C3_T5;0,00;2,00;5,00;1,00;1,25;174863,00;160834,00;147978,00;136013,00;125123,00;115075,00;105828,00;97308,00;89497,00;82292,00;75670,00;69590,00;63955,00;58753,00;54003,00;49648,00;45623,00;41932,00;38535,00;35404,00;32525,00;29869,00;27427,00;25179,00;23108,00;21198,00;19439,00;17818,00;16317,00;14913,00;13622,00;12451,00;11346,00;10357,00;9448,00;8591,00;-86,06;-86,01;-85,97;-85,86;-85,77;-85,66;-85,53;-85,38;-85,23;-85,06;-84,86;-84,66;-84,42;-84,17;-83,85;-83,52;-83,16;-82,77;-82,34;-81,87;-81,37;-80,79;-80,17;-79,50;-78,77;-77,96;-77,07;-76,12;-75,09;-73,94;-72,59;-71,15;-69,51;-67,69;-65,82;-64,10
I2_C3_T7;0,00;2,00;7,00;1,00;1,75;156335,00;143802,00;132243,00;121611,00;111818,00;102827,00;94542,00;86935,00;79940,00;73502,00;67581,00;62140,00;57111,00;52452,00;48224,00;44317,00;40733,00;37431,00;34392,00;31594,00;29025,00;26651,00;24468,00;22460,00;20608,00;18903,00;17330,00;15881,00;14538,00;13287,00;12136,00;11086,00;10099,00;9212,00;8395,00;7626,00;-86,26;-86,19;-86,11;-86,01;-85,90;-85,80;-85,66;-85,52;-85,35;-85,16;-84,97;-84,75;-84,55;-84,25;-83,95;-83,60;-83,24;-82,85;-82,41;-81,94;-81,43;-80,85;-80,23;-79,55;-78,81;-78,00;-77,11;-76,14;-75,10;-73,95;-72,59;-71,16;-69,51;-67,70;-65,79;-64,02
I2_C4_T1;0,00;2,00;1,00;1,00;0,25;188343,00;173233,00;159270,00;146493,00;134720,00;123861,00;113873,00;104733,00;96298,00;88523,00;81385,00;74821,00;68760,00;63163,00;58043,00;53340,00;49016,00;45043,00;41383,00;38015,00;34902,00;32059,00;29433,00;27015,00;24786,00;22732,00;20842,00;19100,00;17484,00;15974,00;14589,00;13329,00;12141,00;11081,00;10106,00;9189,00;-86,25;-86,18;-86,13;-86,03;-85,93;-85,82;-85,69;-85,55;-85,41;-85,24;-85,04;-84,83;-84,64;-84,37;-84,06;-83,72;-83,36;-82,96;-82,54;-82,07;-81,56;-81,00;-80,39;-79,71;-78,98;-78,18;-77,30;-76,35;-75,33;-74,19;-72,83;-71,40;-69,77;-67,95;-66,08;-64,42
I2_C4_T3;0,00;2,00;3,00;1,00;0,75;170973,00;157189,00;144609,00;132973,00;122280,00;112484,00;103442,00;95112,00;87456,00;80424,00;73955,00;68004,00;62507,00;57416,00;52767,00;48505,00;44580,00;40971,00;37646,00;34583,00;31769,00;29176,00;26787,00;24591,00;22564,00;20698,00;18978,00;17393,00;15922,00;14549,00;13287,00;12138,00;11058,00;10088,00;9197,00;8359,00;-86,11;-86,05;-85,96;-85,88;-85,79;-85,67;-85,55;-85,39;-85,25;-85,07;-84,87;-84,67;-84,46;-84,18;-83,87;-83,54;-83,17;-82,79;-82,36;-81,89;-81,38;-80,81;-80,19;-79,51;-78,78;-77,97;-77,09;-76,14;-75,11;-73,96;-72,60;-71,16;-69,51;-67,71;-65,83;-64,11
I2_C4_T9;0,00;2,00;9,00;1,00;2,25;144373,00;132813,00;122232,00;112434,00;103392,00;95122,00;87491,00;80481,00;74021,00;68080,00;62617,00;57591,00;52935,00;48649,00;44724,00;41115,00;37796,00;34739,00;31926,00;29335,00;26952,00;24755,00;22732,00;20868,00;19150,00;17566,00;16107,00;14761,00;13512,00;12346,00;11275,00;10298,00;9380,00;8550,00;7788,00;7069,00;-85,82;-85,78;-85,70;-85,61;-85,51;-85,40;-85,28;-85,14;-84,98;-84,81;-84,62;-84,42;-84,20;-83,94;-83,62;-83,29;-82,93;-82,54;-82,11;-81,65;-81,13;-80,57;-79,96;-79,28;-78,54;-77,73;-76,85;-75,89;-74,86;-73,70;-72,35;-70,90;-69,25;-67,45;-65,55;-63,75
I3_C0_T1;1,00;3,00;1,00;1,50;0,25;186078,00;171199,00;157420,00;144754,00;133073,00;122363,00;112548,00;103384,00;95127,00;87466,00;80395,00;73849,00;67925,00;62376,00;57326,00;52647,00;48408,00;44435,00;40822,00;37495,00;34433,00;31604,00;28995,00;26606,00;24402,00;22372,00;20497,00;18767,00;17163,00;15658,00;14271,00;13010,00;11844,00;10769,00;9769,00;8837,00;-86,16;-86,10;-85,99;-85,90;-85,80;-85,68;-85,51;-85,41;-85,19;-85,00;-84,78;-84,56;-84,35;-84,02;-83,68;-83,31;-82,97;-82,50;-82,02;-81,51;-80,94;-80,33;-79,63;-78,90;-78,08;-77,19;-76,22;-75,18;-74,05;-72,78;-71,27;-69,59;-67,78;-65,79;-63,58;-61,14
I3_C0_T11;1,00;3,00;11,00;1,50;2,75;142416,00;130985,00;120491,00;110810,00;101885,00;93729,00;86174,00;79227,00;72865,00;67022,00;61625,00;56640,00;52060,00;47816,00;43943,00;40387,00;37114,00;34106,00;31334,00;28780,00;26423,00;24267,00;22273,00;20434,00;18741,00;17183,00;15744,00;14415,00;13184,00;12032,00;10971,00;10001,00;9105,00;8273,00;7503,00;6784,00;-85,92;-85,87;-85,78;-85,68;-85,58;-85,46;-85,35;-85,13;-84,99;-84,81;-84,57;-84,35;-84,11;-83,83;-83,45;-83,11;-82,72;-82,29;-81,81;-81,30;-80,73;-80,11;-79,42;-78,67;-77,85;-76,96;-75,98;-74,92;-73,78;-72,49;-70,99;-69,33;-67,51;-65,51;-63,31;-60,83
I3_C0_T12;1,00;3,00;12,00;1,50;3,00;140597,00;129329,00;118935,00;109384,00;100626,00;92552,00;85058,00;78252,00;71984,00;66209,00;60881,00;55973,00;51442,00;47255,00;43441,00;39929,00;36689,00;33718,00;30979,00;28458,00;26134,00;23996,00;22030,00;20212,00;18540,00;16998,00;15575,00;14263,00;13045,00;11907,00;10859,00;9898,00;9014,00;8192,00;7430,00;6720,00;-85,81;-85,73;-85,67;-85,58;-85,47;-85,34;-85,20;-85,08;-84,89;-84,72;-84,49;-84,28;-84,01;-83,73;-83,38;-83,01;-82,61;-82,20;-81,73;-81,22;-80,64;-80,03;-79,35;-78,60;-77,78;-76,89;-75,92;-74,86;-73,71;-72,43;-70,93;-69,26;-67,45;-65,46;-63,26;-60,79
I3_C0_T2;1,00;3,00;2,00;1,50;0,50;170223,00;156549,00;143996,00;132428,00;121755,00;112002,00;102968,00;94639,00;87100,00;80046,00;73640,00;67685,00;62185,00;57161,00;52501,00;48277,00;44342,00;40760,00;37442,00;34388,00;31581,00;28994,00;26611,00;24419,00;22396,00;20537,00;18820,00;17236,00;15763,00;14383,00;13115,00;11955,00;10884,00;9896,00;8977,00;8119,00;-85,91;-85,86;-85,80;-85,70;-85,57;-85,46;-85,31;-85,18;-85,00;-84,78;-84,58;-84,35;-84,14;-83,88;-83,46;-83,10;-82,72;-82,29;-81,81;-81,30;-80,74;-80,10;-79,42;-78,67;-77,85;-76,96;-75,99;-74,93;-73,79;-72,52;-71,00;-69,34;-67,52;-65,52;-63,33;-60,87
I3_C0_T3;1,00;3,00;3,00;1,50;0,75;163956,00;150817,00;138748,00;127630,00;117386,00;107975,00;99289,00;91305,00;83947,00;77228,00;71009,00;65296,00;59968,00;55123,00;50638,00;46574,00;42766,00;39317,00;36121,00;33179,00;30476,00;27975,00;25677,00;23558,00;21608,00;19810,00;18153,00;16621,00;15200,00;13870,00;12643,00;11525,00;10492,00;9536,00;8646,00;7820,00;-85,82;-85,73;-85,66;-85,57;-85,47;-85,35;-85,23;-85,07;-84,89;-84,74;-84,50;-84,27;-84,09;-83,78;-83,40;-83,05;-82,65;-82,25;-81,78;-81,28;-80,73;-80,08;-79,41;-78,67;-77,85;-76,96;-75,99;-74,94;-73,81;-72,54;-71,03;-69,36;-67,55;-65,56;-63,35;-60,89
I3_C0_T5;1,00;3,00;5,00;1,50;1,25;156658,00;144150,00;132541,00;121916,00;112088,00;103119,00;94804,00;87186,00;80185,00;73712,00;67794,00;62314,00;57277,00;52597,00;48379,00;44432,00;40817,00;37516,00;34468,00;31662,00;29075,00;26692,00;24497,00;22478,00;20618,00;18903,00;17320,00;15859,00;14504,00;13235,00;12066,00;10998,00;10015,00;9100,00;8252,00;7462,00;-85,94;-85,88;-85,80;-85,70;-85,59;-85,47;-85,32;-85,17;-85,01;-84,79;-84,62;-84,37;-84,13;-83,85;-83,50;-83,13;-82,72;-82,29;-81,83;-81,31;-80,74;-80,11;-79,43;-78,69;-77,87;-76,97;-76,01;-74,95;-73,80;-72,53;-71,01;-69,35;-67,54;-65,54;-63,33;-60,87
I3_C0_T6;1,00;3,00;6,00;1,50;1,50;151471,00;139292,00;128128,00;117852,00;108381,00;99663,00;91648,00;84266,00;77506,00;71271,00;65542,00;60261,00;55388,00;50881,00;46768,00;42975,00;39490,00;36275,00;33325,00;30615,00;28114,00;25808,00;23689,00;21734,00;19934,00;18275,00;16745,00;15332,00;14021,00;12794,00;11662,00;10629,00;9675,00;8793,00;7971,00;7206,00;-85,93;-85,88;-85,78;-85,69;-85,58;-85,46;-85,30;-85,18;-84,99;-84,80;-84,59;-84,33;-84,12;-83,85;-83,45;-83,10;-82,69;-82,29;-81,81;-81,29;-80,73;-80,11;-79,43;-78,68;-77,85;-76,96;-75,99;-74,93;-73,79;-72,51;-71,01;-69,33;-67,51;-65,52;-63,35;-60,84
I3_C0_T7;1,00;3,00;7,00;1,50;1,75;150135,00;138012,00;126938,00;116761,00;107390,00;98764,00;90805,00;83492,00;76778,00;70585,00;64921,00;59678,00;54876,00;50414,00;46309,00;42569,00;39107,00;35944,00;33017,00;30327,00;27850,00;25569,00;23471,00;21533,00;19750,00;18106,00;16591,00;15191,00;13893,00;12680,00;11561,00;10536,00;9592,00;8716,00;7902,00;7147,00;-85,93;-85,86;-85,77;-85,70;-85,58;-85,44;-85,32;-85,17;-84,98;-84,80;-84,59;-84,37;-84,12;-83,80;-83,52;-83,13;-82,71;-82,28;-81,80;-81,29;-80,71;-80,10;-79,42;-78,67;-77,85;-76,95;-75,98;-74,92;-73,77;-72,49;-71,00;-69,32;-67,51;-65,51;-63,30;-60,83
I3_C0_T8;1,00;3,00;8,00;1,50;2,00;146004,00;134295,00;123576,00;113621,00;104490,00;96101,00;88390,00;81240,00;74734,00;68724,00;63197,00;58108,00;53431,00;49096,00;45094,00;41430,00;38108,00;35007,00;32160,00;29538,00;27127,00;24905,00;22862,00;20976,00;19240,00;17639,00;16163,00;14800,00;13536,00;12354,00;11263,00;10266,00;9344,00;8492,00;7701,00;6964,00;-85,86;-85,79;-85,70;-85,61;-85,49;-85,37;-85,24;-85,08;-84,92;-84,73;-84,52;-84,28;-84,05;-83,76;-83,40;-83,06;-82,63;-82,22;-81,75;-81,24;-80,67;-80,05;-79,38;-78,61;-77,80;-76,91;-75,93;-74,88;-73,73;-72,45;-70,95;-69,28;-67,46;-65,47;-63,26;-60,80
I3_C0_T9;1,00;3,00;9,00;1,50;2,25;145078,00;133413,00;122697,00;112870,00;103805,00;95458,00;87769,00;80725,00;74208,00;68251,00;62734,00;57700,00;52990,00;48698,00;44748,00;41133,00;37798,00;34724,00;31900,00;29300,00;26904,00;24702,00;22674,00;20799,00;19075,00;17488,00;16024,00;14670,00;13415,00;12242,00;11161,00;10173,00;9260,00;8414,00;7629,00;6895,00;-85,98;-85,90;-85,84;-85,73;-85,63;-85,49;-85,38;-85,19;-85,01;-84,84;-84,62;-84,40;-84,16;-83,87;-83,53;-83,14;-82,73;-82,30;-81,84;-81,32;-80,74;-80,13;-79,45;-78,70;-77,87;-76,98;-76,01;-74,95;-73,80;-72,52;-71,01;-69,35;-67,53;-65,54;-63,33;-60,83
I3_C1_T11;0,00;3,00;11,00;1,50;2,75;160566,00;147564,00;135608,00;124671,00;114600,00;105349,00;96824,00;88991,00;81818,00;75187,00;69111,00;63510,00;58352,00;53585,00;49232,00;45241,00;41569,00;38187,00;35076,00;32215,00;29580,00;27156,00;24926,00;22871,00;20978,00;19236,00;17629,00;16149,00;14776,00;13495,00;12319,00;11247,00;10237,00;9332,00;8498,00;7710,00;-86,81;-86,74;-86,65;-86,52;-86,41;-86,27;-86,14;-85,97;-85,79;-85,60;-85,39;-85,17;-84,93;-84,65;-84,32;-83,98;-83,61;-83,21;-82,76;-82,29;-81,76;-81,19;-80,57;-79,89;-79,14;-78,34;-77,45;-76,49;-75,45;-74,30;-72,95;-71,50;-69,88;-68,06;-66,19;-64,45
I3_C1_T3;0,00;3,00;3,00;1,50;0,75;188039,00;172877,00;158891,00;146043,00;134217,00;123375,00;113390,00;104203,00;95791,00;88033,00;80905,00;74345,00;68315,00;62713,00;57626,00;52942,00;48637,00;44681,00;41042,00;37690,00;34607,00;31775,00;29166,00;26765,00;24553,00;22516,00;20639,00;18912,00;17308,00;15808,00;14435,00;13186,00;12007,00;10960,00;9994,00;9085,00;-86,91;-86,84;-86,72;-86,62;-86,51;-86,37;-86,22;-86,07;-85,89;-85,71;-85,49;-85,27;-85,05;-84,75;-84,43;-84,08;-83,71;-83,31;-82,86;-82,39;-81,86;-81,29;-80,67;-79,99;-79,24;-78,44;-77,56;-76,60;-75,58;-74,43;-73,07;-71,64;-69,98;-68,17;-66,32;-64,66
I3_C1_T5;0,00;3,00;5,00;1,50;1,25;176576,00;162352,00;149229,00;137151,00;126047,00;115858,00;106514,00;97899,00;89965,00;82664,00;76006,00;69853,00;64157,00;58923,00;54138,00;49737,00;45698,00;41980,00;38559,00;35413,00;32508,00;29855,00;27402,00;25146,00;23067,00;21152,00;19388,00;17764,00;16256,00;14847,00;13556,00;12381,00;11277,00;10286,00;9377,00;8516,00;-86,90;-86,81;-86,70;-86,61;-86,48;-86,35;-86,20;-86,04;-85,86;-85,66;-85,46;-85,25;-85,03;-84,72;-84,39;-84,05;-83,68;-83,28;-82,83;-82,36;-81,84;-81,26;-80,64;-79,96;-79,22;-78,41;-77,52;-76,57;-75,54;-74,39;-73,03;-71,59;-69,96;-68,14;-66,27;-64,58
I3_C2_T1;0,00;3,00;1,00;1,50;0,25;220217,00;202640,00;186262,00;171318,00;157455,00;144715,00;133033,00;122313,00;112420,00;103339,00;94988,00;87329,00;80219,00;73646,00;67687,00;62203,00;57142,00;52506,00;48237,00;44303,00;40698,00;37361,00;34303,00;31487,00;28888,00;26499,00;24296,00;22270,00;20386,00;18620,00;17006,00;15543,00;14163,00;12938,00;11818,00;10755,00;-86,66;-86,57;-86,47;-86,39;-86,30;-86,14;-86,02;-85,86;-85,69;-85,51;-85,31;-85,09;-84,91;-84,60;-84,28;-83,94;-83,57;-83,16;-82,74;-82,25;-81,74;-81,17;-80,55;-79,87;-79,13;-78,33;-77,46;-76,51;-75,50;-74,36;-73,00;-71,56;-69,88;-68,08;-66,25;-64,74
I3_C2_T7;0,00;3,00;7,00;1,50;1,75;176912,00;162662,00;149575,00;137516,00;126435,00;116226,00;106838,00;98251,00;90344,00;83021,00;76323,00;70166,00;64484,00;59209,00;54413,00;50001,00;45945,00;42217,00;38785,00;35624,00;32715,00;30045,00;27579,00;25314,00;23224,00;21300,00;19527,00;17894,00;16377,00;14961,00;13661,00;12477,00;11364,00;10368,00;9452,00;8587,00;-86,57;-86,49;-86,40;-86,30;-86,18;-86,04;-85,91;-85,77;-85,58;-85,39;-85,19;-84,97;-84,77;-84,47;-84,15;-83,80;-83,43;-83,03;-82,59;-82,11;-81,59;-81,02;-80,39;-79,71;-78,97;-78,16;-77,27;-76,31;-75,29;-74,14;-72,77;-71,33;-69,66;-67,87;-65,99;-64,31
I3_C2_T9;0,00;3,00;9,00;1,50;2,25;171095,00;157325,00;144654,00;132997,00;122279,00;112450,00;103372,00;95039,00;87365,00;80325,00;73851,00;67886,00;62388,00;57292,00;52653,00;48390,00;44467,00;40859,00;37537,00;34481,00;31668,00;29081,00;26696,00;24501,00;22480,00;20616,00;18900,00;17319,00;15852,00;14482,00;13223,00;12077,00;11001,00;10031,00;9143,00;8304,00;-86,50;-86,42;-86,32;-86,23;-86,12;-85,99;-85,85;-85,70;-85,53;-85,35;-85,13;-84,92;-84,70;-84,41;-84,09;-83,75;-83,38;-82,98;-82,54;-82,06;-81,55;-80,97;-80,35;-79,66;-78,92;-78,11;-77,22;-76,26;-75,22;-74,07;-72,72;-71,27;-69,63;-67,81;-65,93;-64,20
I3_C3_T1;0,00;3,00;1,00;1,50;0,25;225089,00;206864,00;190179,00;174814,00;160724,00;147765,00;135815,00;124863,00;114784,00;105508,00;96982,00;89136,00;81892,00;75189,00;69091,00;63486,00;58337,00;53602,00;49244,00;45231,00;41545,00;38149,00;35028,00;32151,00;29503,00;27066,00;24820,00;22753,00;20833,00;19035,00;17392,00;15904,00;14503,00;13254,00;12116,00;11033,00;-86,66;-86,58;-86,50;-86,40;-86,29;-86,15;-86,01;-85,88;-85,70;-85,53;-85,31;-85,12;-84,91;-84,63;-84,30;-83,95;-83,59;-83,19;-82,75;-82,28;-81,78;-81,19;-80,57;-79,89;-79,16;-78,36;-77,48;-76,53;-75,53;-74,39;-73,01;-71,58;-69,93;-68,11;-66,30;-64,75
I3_C3_T11;0,00;3,00;11,00;1,50;2,75;160741,00;147787,00;135926,00;124960,00;114910,00;105644,00;97161,00;89335,00;82125,00;75500,00;69428,00;63830,00;58661,00;53881,00;49521,00;45514,00;41828,00;38437,00;35312,00;32441,00;29797,00;27363,00;25121,00;23059,00;21156,00;19405,00;17790,00;16303,00;14923,00;13635,00;12454,00;11376,00;10363,00;9452,00;8615,00;7825,00;-86,36;-86,31;-86,21;-86,12;-86,00;-85,88;-85,75;-85,60;-85,42;-85,24;-85,03;-84,82;-84,61;-84,32;-84,00;-83,66;-83,30;-82,90;-82,46;-81,99;-81,48;-80,90;-80,28;-79,59;-78,85;-78,04;-77,16;-76,19;-75,16;-74,00;-72,64;-71,20;-69,52;-67,74;-65,85;-64,10
I3_C3_T3;0,00;3,00;3,00;1,50;0,75;193522,00;177844,00;163527,00;150331,00;138195,00;127087,00;116826,00;107400,00;98755,00;90758,00;83429,00;76708,00;70480,00;64733,00;59479,00;54665,00;50228,00;46150,00;42403,00;38951,00;35770,00;32853,00;30158,00;27684,00;25403,00;23302,00;21367,00;19584,00;17931,00;16387,00;14970,00;13681,00;12472,00;11385,00;10392,00;9457,00;-86,55;-86,51;-86,41;-86,31;-86,18;-86,06;-85,92;-85,78;-85,61;-85,40;-85,21;-85,00;-84,79;-84,50;-84,17;-83,83;-83,46;-83,06;-82,62;-82,15;-81,62;-81,05;-80,43;-79,75;-79,01;-78,20;-77,31;-76,35;-75,33;-74,18;-72,82;-71,38;-69,72;-67,92;-66,05;-64,39
