ID_TRILHA;G_SAÚDE;G_ISOLAMENTO;G_TRILHA;N_ISOLAMENTO;N_TRILHA;M_225886;M_246180;M_268298;M_292402;M_318672;M_347302;M_378504;M_412509;M_449569;M_489959;M_533978;M_581951;M_634235;M_691215;M_753315;M_820994;M_894753;M_975139;M_1062747;M_1158226;M_1262283;M_1375688;M_1499282;M_1633980;M_1780779;M_1940767;M_2115128;M_2305154;M_2512253;M_2737957;M_2983939;M_3252021;M_3544187;M_3862602;M_4209624;M_4587823;F_225886;F_246180;F_268298;F_292402;F_318672;F_347302;F_378504;F_412509;F_449569;F_489959;F_533978;F_581951;F_634235;F_691215;F_753315;F_820994;F_894753;F_975139;F_1062747;F_1158226;F_1262283;F_1375688;F_1499282;F_1633980;F_1780779;F_1940767;F_2115128;F_2305154;F_2512253;F_2737957;F_2983939;F_3252021;F_3544187;F_3862602;F_4209624;F_4587823
I1_C0_T9;1,00;1,00;9,00;0,50;2,25;125819,00;115670,00;106322,00;97840,00;89965,00;82715,00;76051,00;69919,00;64296,00;59108,00;54339,00;49965,00;45886,00;42181,00;38753,00;35618,00;32721,00;30060,00;27616,00;25362,00;23291,00;21381,00;19617,00;18001,00;16507,00;15131,00;13861,00;12689,00;11602,00;10588,00;9651,00;8794,00;8003,00;7268,00;6587,00;5949,00;-86,16;-86,06;-85,96;-85,86;-85,75;-85,63;-85,45;-85,29;-85,12;-84,91;-84,69;-84,46;-84,22;-83,91;-83,57;-83,17;-82,74;-82,33;-81,84;-81,32;-80,75;-80,11;-79,42;-78,66;-77,83;-76,92;-75,93;-74,86;-73,69;-72,39;-70,88;-69,20;-67,38;-65,35;-63,10;-60,62
I1_C1_T5;0,00;1,00;5,00;0,50;1,25;156971,00;144404,00;132770,00;122185,00;112346,00;103340,00;95042,00;87423,00;80395,00;73919,00;67977,00;62520,00;57468,00;52773,00;48527,00;44614,00;41001,00;37683,00;34631,00;31815,00;29232,00;26845,00;24653,00;22631,00;20767,00;19051,00;17469,00;16012,00;14660,00;13395,00;12235,00;11178,00;10186,00;9292,00;8472,00;7695,00;-85,91;-85,85;-85,77;-85,66;-85,55;-85,44;-85,30;-85,16;-84,98;-84,79;-84,58;-84,36;-84,15;-83,85;-83,50;-83,15;-82,76;-82,34;-81,89;-81,39;-80,85;-80,23;-79,57;-78,85;-78,07;-77,20;-76,26;-75,23;-74,13;-72,91;-71,46;-69,92;-68,14;-66,23;-64,21;-62,34
I1_C1_T7;0,00;1,00;7,00;0,50;1,75;150597,00;138529,00;127407,00;117225,00;107801,00;99162,00;91164,00;83847,00;77122,00;70926,00;65214,00;59967,00;55120,00;50631,00;46539,00;42788,00;39321,00;36140,00;33209,00;30510,00;28026,00;25741,00;23636,00;21697,00;19908,00;18262,00;16743,00;15344,00;14045,00;12832,00;11719,00;10702,00;9749,00;8889,00;8099,00;7353,00;-85,94;-85,85;-85,77;-85,68;-85,58;-85,45;-85,32;-85,17;-85,00;-84,81;-84,61;-84,40;-84,18;-83,86;-83,54;-83,19;-82,81;-82,39;-81,94;-81,43;-80,89;-80,28;-79,63;-78,91;-78,13;-77,27;-76,33;-75,31;-74,22;-73,00;-71,55;-70,03;-68,27;-66,36;-64,36;-62,46
I1_C1_T9;0,00;1,00;9,00;0,50;2,25;140929,00;129598,00;119161,00;109642,00;100818,00;92748,00;85286,00;78443,00;72137,00;66331,00;60995,00;56086,00;51552,00;47373,00;43538,00;40022,00;36780,00;33803,00;31063,00;28536,00;26217,00;24075,00;22105,00;20290,00;18616,00;17075,00;15654,00;14344,00;13130,00;11997,00;10955,00;10003,00;9111,00;8305,00;7564,00;6863,00;-85,93;-85,86;-85,80;-85,70;-85,59;-85,48;-85,34;-85,19;-85,03;-84,85;-84,64;-84,42;-84,19;-83,90;-83,58;-83,23;-82,84;-82,43;-81,98;-81,48;-80,93;-80,34;-79,69;-78,98;-78,20;-77,34;-76,41;-75,39;-74,29;-73,07;-71,65;-70,13;-68,40;-66,50;-64,50;-62,58
I1_C2_T1;0,00;1,00;1,00;0,50;0,25;228289,00;210085,00;193304,00;177989,00;163677,00;150688,00;138547,00;127534,00;117273,00;107931,00;99271,00;91352,00;83941,00;76979,00;70762,00;65082,00;59853,00;55054,00;50614,00;46536,00;42774,00;39330,00;36150,00;33234,00;30540,00;28062,00;25778,00;23689,00;21723,00;19833,00;18128,00;16646,00;15202,00;14006,00;12948,00;11864,00;-85,45;-85,41;-85,33;-85,30;-85,23;-85,12;-85,05;-84,90;-84,77;-84,63;-84,46;-84,32;-84,22;-83,88;-83,52;-83,20;-82,81;-82,42;-81,98;-81,52;-81,00;-80,44;-79,81;-79,14;-78,41;-77,62;-76,77;-75,86;-74,97;-73,90;-72,39;-70,93;-69,08;-67,18;-65,48;-64,65
I1_C2_T3;0,00;1,00;3,00;0,50;0,75;179366,00;165065,00;151981,00;139844,00;128650,00;118388,00;108862,00;100200,00;92185,00;84812,00;78032,00;71814,00;65988,00;60533,00;55672,00;51205,00;47089,00;43300,00;39809,00;36595,00;33639,00;30913,00;28406,00;26105,00;23979,00;22021,00;20217,00;18560,00;17004,00;15513,00;14168,00;12981,00;11831,00;10862,00;9988,00;9112,00;-85,41;-85,38;-85,35;-85,26;-85,16;-85,07;-84,95;-84,82;-84,69;-84,52;-84,33;-84,17;-84,04;-83,75;-83,38;-83,01;-82,62;-82,22;-81,78;-81,31;-80,78;-80,19;-79,55;-78,86;-78,12;-77,30;-76,43;-75,49;-74,54;-73,43;-71,91;-70,42;-68,56;-66,63;-64,85;-63,76
I1_C2_T5;0,00;1,00;5,00;0,50;1,25;159764,00;146982,00;135181,00;124328,00;114375,00;105199,00;96751,00;88953,00;81833,00;75256,00;69205,00;63656,00;58497,00;53726,00;49392,00;45410,00;41746,00;38381,00;35277,00;32425,00;29797,00;27382,00;25159,00;23112,00;21228,00;19493,00;17896,00;16425,00;15059,00;13775,00;12604,00;11551,00;10558,00;9678,00;8886,00;8120,00;-85,91;-85,84;-85,74;-85,67;-85,57;-85,44;-85,31;-85,16;-84,99;-84,81;-84,61;-84,39;-84,19;-83,87;-83,53;-83,16;-82,77;-82,35;-81,89;-81,38;-80,81;-80,22;-79,56;-78,83;-78,05;-77,18;-76,25;-75,23;-74,15;-72,94;-71,45;-69,91;-68,11;-66,13;-64,15;-62,56
I1_C2_T7;0,00;1,00;7,00;0,50;1,75;153901,00;141523,00;130184,00;119728,00;110118,00;101266,00;93155,00;85643,00;78768,00;72458,00;66629,00;61281,00;56322,00;51719,00;47546,00;43709,00;40180,00;36936,00;33950,00;31203,00;28672,00;26348,00;24208,00;22239,00;20424,00;18753,00;17216,00;15802,00;14487,00;13253,00;12127,00;11110,00;10156,00;9307,00;8543,00;7810,00;-85,91;-85,84;-85,74;-85,67;-85,55;-85,43;-85,29;-85,15;-84,96;-84,77;-84,55;-84,34;-84,15;-83,82;-83,46;-83,09;-82,69;-82,26;-81,78;-81,27;-80,70;-80,07;-79,39;-78,65;-77,84;-76,95;-75,99;-74,95;-73,84;-72,60;-71,08;-69,50;-67,66;-65,63;-63,61;-61,91
I1_C3_T1;0,00;1,00;1,00;0,50;0,25;200739,00;184669,00;169832,00;156162,00;143551,00;132026,00;121400,00;111637,00;102629,00;94360,00;86744,00;79758,00;73296,00;67303,00;61855,00;56859,00;52248,00;48014,00;44110,00;40527,00;37221,00;34184,00;31387,00;28808,00;26437,00;24249,00;22234,00;20379,00;18657,00;17043,00;15567,00;14227,00;12963,00;11834,00;10800,00;9815,00;-86,37;-86,25;-86,18;-86,09;-85,98;-85,86;-85,73;-85,57;-85,42;-85,23;-85,04;-84,84;-84,63;-84,33;-84,02;-83,67;-83,30;-82,90;-82,46;-81,99;-81,47;-80,90;-80,27;-79,59;-78,85;-78,04;-77,15;-76,19;-75,16;-74,01;-72,63;-71,18;-69,50;-67,69;-65,83;-64,18
I1_C3_T3;0,00;1,00;3,00;0,50;0,75;172359,00;158409,00;145638,00;133882,00;123116,00;113160,00;104018,00;95625,00;87927,00;80815,00;74284,00;68282,00;62751,00;57632,00;52967,00;48666,00;44713,00;41081,00;37742,00;34666,00;31837,00;29230,00;26831,00;24624,00;22589,00;20717,00;18990,00;17401,00;15925,00;14548,00;13284,00;12132,00;11048,00;10076,00;9181,00;8337,00;-86,58;-86,52;-86,44;-86,34;-86,21;-86,08;-85,95;-85,79;-85,61;-85,42;-85,21;-84,98;-84,77;-84,46;-84,15;-83,80;-83,42;-83,02;-82,58;-82,10;-81,56;-80,99;-80,36;-79,67;-78,92;-78,10;-77,20;-76,23;-75,18;-74,02;-72,65;-71,19;-69,54;-67,71;-65,80;-64,06
