Id_Trilha;isolamento_QualItatIvo;NíveCurtoCirtuito_Qualitativo;EspessuraTrlha_Qualitativo;Isolamento_Quantitativo_mm;EspessuraTrlha__Quantitativo_mm;Frequencia_Hz;absz;phasez_DEG;realz;imagz;R_ACurtoVsAIsolamento;R_ATrilhaVsAIsolamento;Area_CURTO;Area_ISOLAMENTO;Area_TRILHA
I1_C3_T3;1;3;3;0,5;0,75;207265;187279;-86,67373209;10865,92;-186962;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;190179;203834;-86,72060004;11660,3;-203499,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;174502;221662;-86,80849177;12340,58;-221317,8;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;160117;241045;-86,82728478;13340,4;-240674,4;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;146917;262187;-86,88767453;14234,7;-261799;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;134806;285175;-86,91425977;15350,88;-284759,4;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;123693;309922;-86,98267094;16314,08;-309491,4;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;113497;337378;-86,98530654;17744,34;-336909,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;104141;366636;-87,02289257;19042,26;-366138;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;95556;398579;-87,01200637;20776,62;-398034;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;87679;433733;-87,01235015;22603,78;-433138,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;80451;471545;-87,02380931;24484,06;-470904,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;73819;512364;-87,00146395;26802,78;-511658,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;67733;557553;-87,0130377;29055,34;-556787,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;62150;606108;-86,92778158;32481,92;-605225,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;57026;658536;-87,02999725;34123,64;-657636,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;52325;717111;-86,92640648;38454,8;-716055,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;48012;778389;-86,87942394;42376,44;-777218,6;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;44054;848782;-86,92526056;45518,36;-847518,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;40423;920755;-86,87438191;50207,06;-919351,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;37090;1000589;-86,88595566;54351,76;-999071,2;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;34033;1087864;-86,88045526;59209,66;-1086188;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;31227;1180398;-86,65528285;68898,62;-1178322;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;28653;1287032;-86,76941604;72518,92;-1284872;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;26291;1395482;-86,74076815;79343,64;-1393098;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;24124;1519976;-86,78694855;85216,92;-1517420;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;22135;1647656;-86,5623491;98782,2;-1644472;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;20310;1790008;-86,63591688;104948,38;-1786676;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;18636;1953120;-86,46437331;120450,4;-1949004;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;17100;2121888;-86,48866672;130080,8;-2117486;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;15690;2298344;-86,46838402;141549,8;-2293476;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;14397;2509386;-86,24928496;164199;-2503334;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;13210;2710210;-86,240576;177580;-2703576;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;12121;2940262;-86,47422819;180692,4;-2933416;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;11122;3225574;-86,09195075;219582,2;-3216730;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;10205;3496494;-86,03499874;241336,6;-3486344;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;9364;3769504;-85,97598409;264562;-3757540;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;8592;4123966;-86,39928531;259463,2;-4112574;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;7884;4483110;-86,22201217;295531,6;-4468932;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;7234;4825412;-85,89198848;344885,8;-4806456;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;6637;5244636;-85,72308052;391051,8;-5222258;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;6090;5700676;-86,2948924;366860,6;-5679362;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;5588;6237130;-85,17544746;519964,8;-6200272;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;5127;6791748;-85,11310965;571113,8;-6750622;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;4705;7293232;-85,29393513;591989,8;-7248380;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;4317;7871046;-84,53510983;749206,4;-7810102;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;3961;8447528;-84,28598778;839948,6;-8370392;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;3635;9337426;-84,63549203;874023,6;-9251336;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;3335;10294900;-85,41276658;809255,6;-10199570;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;3060;11016020;-84,79122196;997937,2;-10893980;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;2808;11911100;-83,39606973;1357756;-11724760;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;2576;13203280;-84,82147413;1158518,4;-12992820;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;2364;14043120;-84,59847896;1299522;-13804300;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;2169;15940900;-84,15191565;1651352,8;-15472560;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1990;16862820;-84,44160311;1575129,6;-16492740;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1826;18392620;-84,59183265;1721676,6;-17923440;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1676;20658480;-81,87933585;2903600;-19613360;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1538;21400800;-80,63578826;3286772;-20402640;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1411;26158060;-82,9118058;2967755,4;-22860860;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1294;27957400;-83,36467164;2936670,2;-25720180;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1188;29653600;-79,10564717;3624328;-24408420;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1000;33225620;-75,91908509;4139019;-26233940;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T3;1;3;3;0,5;0,75;1090;36028680;-73,07549556;888921,6;-26201360;0,005769375;0,794918888;9204;1595320;1268150
I1_C3_T5;1;3;5;0,5;1,25;5000000;6667;-62,13383514;3116,38;-5894,262;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;4587823;7522;-63,98425963;3299,216;-6759,714;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;4209624;8288;-65,77956559;3400,114;-7558,394;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;3862602;9102;-67,68831718;3455,438;-8420,304;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;3544187;9984;-69,52006326;3493,308;-9353,294;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;3252021;10966;-71,18198464;3537,27;-10379,98;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;2983939;12011;-72,63936008;3583,804;-11463,56;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;2737957;13156;-74,00666657;3624,658;-12646,36;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;2512253;14401;-75,17756312;3684,124;-13921,88;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;2305154;15735;-76,22710721;3746,156;-15282,9;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;2115128;17176;-77,20778177;3803,04;-16749,68;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1940767;18739;-78,10617959;3862,168;-18337,08;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1780779;20436;-78,93078045;3923,58;-20055,76;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1633980;22277;-79,68009465;3990,758;-21916,32;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1499282;24275;-80,37646756;4058,224;-23933,78;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1375688;26447;-81,0071795;4133,964;-26121,9;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1262283;28802;-81,59251318;4211,218;-28492,68;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1158226;31366;-82,11848844;4301,086;-31069,52;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;1062747;34150;-82,60126268;4397,626;-33865,96;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;975139;37178;-83,04851353;4499,704;-36904,96;0,005765996;1,240999088;9204;1596255;1980951
